Campo_1,Campo_2,Campo_3,Campo_4,Campo_5,Campo_6,Campo_7,Campo_8
ID,RUT,Proveedor,Razón,Social,Fecha,Actualización,
74708,SERVICIOS,MEDICOS,ALFA,,,,
74709,77.609.544-3,2025-07-24,,,,,
CAMPOS,Y,QUINTEROS,SPA,,,,
74710,77.530.409-K,PALMA,Y,CACTUS,SPA,2025-07-24,
74711,77.027.349-8,ELECTRICIDAD,DEL,PUMA,2025-07-24,,
74712,77.755.611-8,FLOREVER,SPA,2025-07-24,,,
74713,77.603.773-7,SERVICIOS,K,&,G,SPA,2025-07-24
74714,77.530.962-8,ALTO,SEGURIDAD,SPA,2025-07-24,,
74715,77.540.185-0,COFERCRI,SPA,2025-07-24,,,
74716,78.072.353-K,2025-07-24,,,,,
WOW,INVERSIONES,LUIS,,,,,
74717,76.505.071-5,2025-07-24,,,,,
SASSI,JEREZ,E.I.R.L.,,,,,
SANTA,MARÍA,SMOKESHOP,,,,,
74718,77.604.103-3,2025-07-24,,,,,
